,distance_stream_downstream
1126,11698.054
1127,12062.251
1128,12011.644
1129,12062.251
1130,12112.861
1131,12274.1
1132,12435.339
1133,12071.665
1134,12021.059
1135,12071.665
1136,16417.117
1137,15903.397
1138,15742.158
1139,15339.056
1140,15177.817
1141,15127.21
1142,14965.956
1143,14915.349
1144,14965.956
1145,15016.566
1146,14754.085
1147,14915.33
1148,14965.937
1149,15127.176
1150,15288.414
1151,15691.523
1152,15852.769
1153,23856.752
1154,23453.65
1155,23292.418
1156,23131.186
1157,22969.951
1158,22566.85
1159,22405.611
1160,22244.377
1161,22083.145
1162,21921.912
1163,21760.68
1164,21599.447
1165,21438.215
1166,21276.982
1167,20873.879
1168,20712.64
1169,20551.402
1170,20500.795
1171,20551.402
1172,20500.795
1173,20551.402
1174,20712.64
1175,24532.16
1176,21710.316
1177,21549.072
1178,21498.465
1179,23645.373
1180,23484.14
1181,23322.908
1182,23161.676
1183,23000.443
1184,22486.705
1185,22436.098
1186,22486.705
1187,22537.314
1188,22698.56
1189,22647.977
1190,22698.584
1191,22859.848
1192,24401.13
1193,23887.393
1194,24048.63
1195,23887.393
1196,24039.234
1197,23988.627
1198,24039.234
1199,25439.893
1200,25278.654
1201,25228.047
1202,25278.654
1203,25651.793
1204,25601.188
1205,25651.793
1206,25813.04
1207,26407.498
1208,26356.89
1209,26407.498
1210,26458.107
1211,26941.86
1212,26891.254
1213,26941.86
1214,27103.098
1215,28181.336
1216,28130.729
1217,28181.336
1218,28342.574
1219,28503.812
1220,28906.916
1221,29068.148
1222,29229.387
1223,31699.07
1224,31537.832
1225,31487.225
1226,31537.832
1227,31376.582
1228,31114.105
1229,31063.5
1230,31114.105
1231,31376.588
1232,31325.977
1233,31487.215
1234,32102.205
1235,32051.6
1236,32102.205
1237,32263.445
1238,32424.684
1239,32827.785
1240,33664.117
1241,33613.508
1242,33664.117
1243,34611.055
1244,34560.45
1245,34611.055
1246,35124.79
1247,35709.81
1248,35659.2
1249,35608.594
1250,35659.2
1251,35820.438
1252,35871.07
1253,37806.055
1254,37644.816
1255,37131.082
