,profile_curvature
886,6.328994e-05
887,5.8653746e-05
888,6.0001268e-05
889,1.7586255e-05
890,-8.477932e-06
891,-1.3296507e-05
892,-1.3300738e-05
893,-1.3736639e-05
894,-1.2658327e-05
895,-1.2428545e-05
896,-1.3589166e-05
897,-1.7529635e-05
898,-2.5462869e-05
899,-4.503853e-05
900,-8.506963e-05
901,-0.0001431692
902,-0.00023504636
903,-0.00045518536
904,-0.0010694962
905,-0.0018296533
906,-0.0025832695
907,-0.003893706
908,-0.0055982107
909,-0.007747267
910,-0.013106021
911,-0.0058516753
912,-0.007054213
913,-0.0022133305
914,-0.001223884
915,-0.00084113824
916,-0.00058975036
917,-0.00041590087
918,-0.00033461375
919,-0.00026814183
920,-0.00024093202
921,-0.00023233247
922,-0.00028310315
923,-0.00033627538
924,-0.00039802445
925,-0.0004866242
926,-0.00069498847
927,-0.0010201278
928,-0.0025090836
929,-0.013137826
930,-2.7023225
931,-0.10656441
932,-0.0099150725
933,-0.001951866
934,-0.0013219259
935,-0.0007924692
936,-0.00055099785
937,-0.0004008613
938,-0.00038275623
939,-0.00039700832
940,-0.00046204298
941,-0.0006228949
942,-0.00097283925
943,-0.001942405
944,-0.006495512
945,-0.003274887
946,-0.0011981132
947,-0.00047299574
948,-0.00022404894
949,-0.000116488154
950,-8.798523e-05
951,-8.603887e-05
952,-0.00010252442
953,-0.0001178255
954,-0.00014769091
955,-0.00018199577
956,-0.0002298205
957,-0.00027553062
958,-0.0003623682
959,-0.00035723913
960,-0.00024981034
961,-0.00020931306
962,-0.00019420008
963,-0.000176927
964,-0.00017387044
965,-0.0001926977
966,-0.00025789946
967,-4.877439e-05
968,-4.6061552e-05
969,-3.1462165e-05
970,1.7094964e-05
971,1.1512929e-05
972,-1.6944172e-05
973,-1.1684347e-05
974,-1.05750305e-05
975,-4.629854e-06
976,-1.971098e-05
977,-5.555237e-05
978,-7.0451184e-05
979,-0.0003408402
980,-0.00010378783
981,-1.4163756e-05
982,2.5136733e-05
983,0.0001303084
984,0.00035451667
985,0.0013162664
986,-0.014456627
987,-0.013811483
988,-0.00015727195
989,2.5334708e-05
990,0.00020149659
991,0.0012745041
992,0.013821528
993,0.002230448
994,0.00036753307
995,0.00011760606
996,3.7287973e-05
997,-2.7633976e-05
998,-0.00017014051
999,-5.891106e-05
1000,-3.311581e-05
1001,-5.7794496e-05
1002,2.865189e-06
1003,3.2225693e-05
1004,5.3202606e-05
1005,2.0256184e-06
1006,-2.2023834e-05
1007,-5.093144e-05
1008,-0.00015081231
1009,-0.00097211933
1010,-0.06169651
1011,-0.012986949
1012,-0.00033424154
1013,-6.919162e-05
1014,-2.3005885e-05
1015,-9.7583625e-06
1016,-3.003154e-06
1017,7.0546316e-06
1018,3.9671573e-05
1019,0.00034257502
1020,0.016784273
1021,0.0046944474
1022,-1.9160907e-05
1023,-5.7645444e-05
1024,-5.402183e-05
1025,3.276655e-05
1026,0.0001554848
1027,0.00014427645
1028,1.6130381e-05
1029,2.3143759e-05
1030,1.6760445e-05
1031,3.1761967e-05
1032,4.467968e-05
1033,3.4117787e-05
1034,2.5662783e-05
1035,2.088164e-05
1036,9.422938e-06
1037,1.8267727e-05
1038,1.8979848e-05
1039,6.1230357e-06
1040,-1.599451e-05
1041,-2.457493e-05
1042,-2.924326e-05
1043,-2.830662e-05
1044,-2.7064265e-05
1045,-2.8602864e-05
1046,-3.5726e-05
1047,-5.14597e-05
1048,-9.9940764e-05
1049,-0.00019551507
1050,-0.0003501934
1051,-0.0007098318
1052,-0.0034475934
1053,-0.1778948
1054,-0.011360596
1055,-0.0036531736
1056,-0.001892852
1057,-0.0019612303
1058,-0.0022322102
1059,-0.0016901371
1060,-0.0009795958
1061,-0.00048322204
1062,-0.00028046392
1063,-0.00019128386
1064,-0.00013642335
1065,-9.9203804e-05
1066,-7.6852004e-05
1067,-6.437889e-05
1068,-5.1729323e-05
1069,-4.3651457e-05
1070,-4.3966214e-05
1071,-5.1225972e-05
1072,-5.8185095e-05
1073,-6.765288e-05
1074,-8.1951606e-05
1075,-0.000104733146
1076,-0.00012874034
1077,-0.00021296853
1078,-0.0004704624
1079,-0.0010694995
1080,-0.0022031753
1081,-0.006585071
1082,-0.025988018
1083,-1.8973527
1084,-0.15586393
1085,-0.0040018843
1086,-0.002003269
1087,-0.0016960216
1088,-0.0016869741
1089,-0.0020942132
1090,-0.00320184
1091,-0.005284513
1092,-0.015986964
1093,-0.0102699995
1094,-0.0018113839
1095,-0.00046026125
1096,-0.0001707159
1097,-7.7880446e-05
1098,-4.2380834e-05
1099,-3.0603966e-05
1100,-2.759399e-05
1101,-3.0304065e-05
1102,-3.310983e-05
1103,-4.095819e-05
1104,-4.937365e-05
1105,-5.758285e-05
1106,-6.131046e-05
1107,-6.655262e-05
1108,-6.554867e-05
1109,-5.607046e-05
1110,-4.8771624e-05
1111,-4.4773755e-05
1112,-4.101183e-05
1113,-3.9528015e-05
1114,-4.419261e-05
1115,-5.914491e-05
1116,-0.00014959279
1117,-0.000111785885
1118,-8.0278296e-05
1119,-3.52945e-05
1120,-3.5128865e-05
1121,-4.284441e-05
1122,-4.202291e-05
1123,-4.647629e-05
1124,-3.781664e-05
1125,-4.1203566e-05
1126,-5.092208e-05
1127,6.37086e-05
1128,-0.00011324025
1129,-4.9082406e-05
1130,-8.547326e-06
1131,2.033734e-05
1132,9.42386e-05
1133,0.00030554447
1134,0.00078073266
1135,0.0026424536
1136,0.00051227264
1137,-6.415947e-05
1138,1.787467e-05
1139,0.00015511044
1140,0.0009850097
1141,0.12105867
1142,0.00053611555
1143,7.034383e-05
1144,2.2810224e-05
1145,1.6332808e-05
1146,1.9533678e-05
1147,-0.00017404027
1148,-0.00010242751
