,profile_curvature
529,-0.00015631266
530,-0.00046523652
531,-0.0021569165
532,-0.0075337333
533,-0.00024315929
534,0.0006750116
535,0.00023859322
536,7.137586e-05
537,1.0676608e-05
538,-9.612218e-07
539,-7.2288935e-07
540,-6.2335937e-07
541,-5.6320334e-07
542,-5.7524005e-07
543,-6.9846936e-07
544,-9.474279e-07
545,-1.1917858e-06
546,-1.3385878e-06
547,-1.5001593e-06
548,-1.6982692e-06
549,-2.0941113e-06
550,-3.1335858e-06
551,-4.3568475e-06
552,-6.1318415e-06
553,-6.7691444e-06
554,-6.493413e-06
555,-9.498339e-06
556,-1.2812603e-05
557,-1.2627636e-05
558,-9.376504e-06
559,2.5024789e-05
560,-4.968713e-07
561,6.0291102e-05
562,0.00036728216
563,0.00273093
564,0.007510043
565,0.000970925
566,6.723126e-05
567,-0.00012592413
568,1.0048152e-05
569,0.00013352526
570,5.7343957e-05
571,1.8845381e-05
572,5.553415e-06
573,-1.0265538e-05
574,-7.3071016e-05
575,-0.00049040775
576,-0.007957798
577,-0.0017259099
578,-0.00030679954
579,-3.894005e-05
580,4.3730757e-05
581,0.000115048155
582,0.0003332545
583,0.0016913407
584,0.0020980653
585,0.0023236119
586,0.001987258
587,0.000528437
588,0.00016730257
589,5.0015842e-05
590,-0.00037023553
591,-0.00011606793
592,-3.8335835e-05
593,-1.3300485e-05
594,6.5562745e-06
595,-1.8667368e-05
596,3.1091156e-05
597,1.0106411e-05
598,-1.0044031e-05
599,-5.8426504e-05
600,-0.00062966044
601,-0.002669042
602,-6.0267324e-05
603,-1.0377959e-05
604,-2.5831314e-06
605,1.2621546e-05
606,9.158602e-05
607,0.00062980317
608,0.0011845578
609,-4.317855e-05
610,-5.711002e-05
611,-5.39156e-05
612,-9.618854e-05
613,-0.00024186827
614,-0.000120347184
615,-0.00021184393
616,0.00010680754
617,0.0003167993
618,0.0022043467
619,0.016292317
620,0.00012507886
621,1.4909579e-05
622,2.749817e-06
623,1.2888948e-07
624,-6.594006e-06
625,-2.3590515e-05
626,-7.211416e-05
627,-0.00046024646
628,-0.0021939182
629,-0.0010901988
630,-0.00023801374
631,-9.6933865e-05
632,-4.4600205e-05
633,-2.1497506e-05
634,-1.098253e-05
635,-4.5800266e-06
636,5.582582e-06
637,3.996145e-05
638,0.00020260697
639,0.0030166698
640,0.0061311647
641,0.00015586523
