,TWI_raster
745,-12.129575
746,-13.219402
747,-15.723632
748,-16.412779
749,-14.556001
750,-15.848891
751,-15.557799
752,-13.93577
753,-12.775608
754,-11.388886
755,-10.415555
756,-10.869355
757,-13.457711
758,-10.616166
759,-9.185933
760,-11.292617
761,-8.189673
762,-12.6628
763,-10.361238
764,-10.433419
765,-14.486195
766,-13.832621
767,-15.878163
768,-16.109451
769,-16.409878
770,-15.475216
771,-15.594014
772,-14.0093775
773,-10.913541
774,-8.614928
775,-9.19838
776,-13.425782
777,-13.984276
778,-12.264146
779,-13.1784315
780,-16.499598
781,-14.736116
782,-11.690247
783,-11.539906
784,-11.193997
785,-12.6167555
786,-16.421484
787,-13.35085
788,-12.964417
789,-15.969853
790,-15.275981
791,-14.733654
792,-14.372168
793,-14.299024
794,-15.338706
795,-16.239855
796,-14.725023
797,-14.2561035
798,-12.976666
799,-8.579261
800,-10.925391
801,-14.040234
802,-14.79165
803,-12.968861
804,-13.008859
805,-14.231596
806,-14.97735
807,-13.900338
808,-10.834848
809,-10.918778
810,-11.708486
811,-11.217334
812,-12.516328
813,-11.293363
814,-10.795138
815,-8.812325
816,-9.230588
817,-10.143548
818,-12.51509
819,-14.006377
820,-10.575831
821,-9.924717
822,-11.323336
823,-11.4395275
824,-12.3969345
825,-10.691856
826,-12.279349
827,-11.417358
828,-10.7210045
829,-11.387792
830,-12.907765
831,-12.469118
832,-11.177944
833,-11.031501
834,-11.827033
835,-13.303591
836,-12.335944
837,-12.427462
838,-14.885659
839,-12.359839
840,-12.876546
841,-14.248938
842,-14.668834
843,-13.074006
844,-13.019794
845,-12.535948
846,-11.012664
847,-11.009938
848,-12.35385
849,-13.847557
850,-14.355418
851,-7.4816794
852,-10.150483
853,-11.8072
854,-12.339315
855,-14.790382
856,-12.873571
857,-12.648077
858,-11.598615
859,-9.964295
860,-13.349278
861,-14.684541
862,-10.66825
863,-11.632544
864,-11.143975
865,-13.829153
866,-15.5624
867,-16.402996
868,-14.343735
869,-11.283521
870,-10.528803
871,-15.240192
872,-15.151884
873,-8.277928
874,-9.574175
875,-14.076271
876,-14.430698
877,-15.810825
878,-15.583715
879,-12.825846
880,-12.705598
881,-15.574209
882,-15.396955
883,-13.222766
884,-11.042496
885,-13.5926695
886,-10.146451
887,-12.908948
888,-10.12859
889,-9.784834
890,-10.278712
891,-10.028331
892,-11.26179
893,-11.424366
894,-12.19077
895,-12.926078
896,-10.949562
897,-12.941888
898,-13.354807
899,-14.574584
900,-13.61089
901,-15.1287155
902,-15.6612015
903,-16.341753
904,-15.847806
905,-16.775957
906,-15.8222275
907,-15.901122
908,-16.487392
909,-16.641977
910,-15.515618
911,-16.617695
912,-13.307326
913,-14.599331
914,-12.484756
915,-12.957735
916,-15.1046295
917,-12.827818
918,-14.8234415
919,-14.76068
920,-14.729894
921,-14.997013
922,-13.247965
923,-11.826372
924,-11.796231
925,-13.179028
926,-16.009106
927,-14.401245
928,-13.362355
929,-11.841555
930,-8.941919
931,-9.861376
932,-12.835476
933,-12.197702
934,-11.396965
935,-11.202692
936,-12.163339
937,-10.872964
938,-9.666001
939,-9.718
940,-11.216553
941,-11.447338
942,-10.309398
943,-10.285739
944,-10.087559
945,-11.56713
946,-9.715961
947,-13.477718
948,-9.432428
949,-11.15243
950,-10.938907
951,-13.734368
952,-12.790041
953,-10.317017
954,-11.546597
955,-10.845216
956,-13.098025
957,-11.297486
958,-12.077488
959,-12.096739
960,-12.854122
961,-11.589956
962,-13.195545
963,-13.530566
964,-14.254922
965,-14.219998
966,-11.930741
967,-12.264182
968,-14.319872
969,-12.6003685
970,-9.932893
971,-11.873945
972,-13.926433
973,-11.592266
974,-11.546994
975,-11.21529
976,-11.05091
977,-13.448256
978,-11.549353
979,-11.190454
980,-10.182425
981,-11.375738
982,-11.13634
983,-12.406196
984,-14.395079
985,-13.236425
986,-12.960317
987,-14.599356
988,-10.676789
989,-8.466225
990,-10.83115
991,-12.091476
992,-11.328878
993,-8.598208
994,-8.996461
995,-16.160208
996,-14.808002
997,-10.047813
998,-11.689848
999,-12.863275
1000,-15.893997
1001,-9.512579
1002,-11.00032
1003,-15.969014
1004,-15.4745655
1005,-14.29108
1006,-12.995389
1007,-10.906818
1008,-9.012552
1009,-11.269061
1010,-12.156945
1011,-13.761857
1012,-14.40979
1013,-16.439539
1014,-16.398449
1015,-14.377145
1016,-13.818809
1017,-12.619251
1018,-12.699092
1019,-14.526668
1020,-16.308855
1021,-12.611493
1022,-9.054919
1023,-15.905765
1024,-16.327833
1025,-15.379065
1026,-15.279232
1027,-13.302131
1028,-11.965479
1029,-14.97523
1030,-16.109484
1031,-15.439732
1032,-15.282568
1033,-12.325225
1034,-10.169466
1035,-13.089032
1036,-11.599988
1037,-11.066769
1038,-11.0474615
1039,-11.274381
1040,-12.424708
1041,-14.081648
1042,-14.111795
1043,-11.334257
1044,-13.583525
1045,-16.18788
1046,-15.278424
1047,-15.302331
1048,-15.687817
1049,-11.53061
1050,-10.887042
1051,-10.796345
1052,-9.942468
1053,-13.371835
1054,-13.78649
1055,-11.300444
1056,-11.652093
1057,-14.256054
1058,-14.328565
1059,-12.792048
1060,-16.013708
1061,-16.59284
1062,-14.769281
1063,-10.832553
1064,-11.481983
1065,-11.00717
1066,-13.879314
1067,-13.402005
1068,-12.299348
1069,-13.8160305
1070,-15.597112
1071,-14.985134
1072,-13.346547
1073,-11.603467
1074,-11.938313
1075,-15.197682
1076,-15.009442
1077,-15.148163
1078,-10.500122
1079,-8.478851
1080,-13.264117
1081,-12.5829315
1082,-11.87521
1083,-12.544571
1084,-10.55553
1085,-10.785369
1086,-9.039489
1087,-13.60071
1088,-9.836337
1089,-10.384653
1090,-8.974764
1091,-10.399203
1092,-10.111586
1093,-13.158945
1094,-10.0545025
1095,-13.081189
1096,-13.009243
1097,-10.918114
1098,-13.734191
1099,-11.958168
1100,-12.635756
1101,-10.95895
1102,-10.981274
1103,-12.57097
1104,-11.118031
1105,-11.7112465
1106,-11.643756
1107,-12.880012
1108,-11.004258
1109,-9.991859
1110,-10.995469
1111,-13.770855
1112,-15.022228
1113,-13.893525
1114,-13.269937
1115,-13.1551075
1116,-14.0304985
1117,-14.608223
1118,-14.206311
1119,-14.3831835
1120,-11.770053
1121,-11.247962
1122,-10.463497
1123,-10.8779745
1124,-13.380661
1125,-10.955031
1126,-12.117538
1127,-11.747974
1128,-11.007112
1129,-11.578293
1130,-13.932719
1131,-14.811908
1132,-12.461424
1133,-12.415614
1134,-10.570265
1135,-10.050608
1136,-12.046274
1137,-10.69914
1138,-9.47615
1139,-10.980957
1140,-9.910184
1141,-11.757209
1142,-11.82154
1143,-7.552478
1144,-15.950789
1145,-15.558167
1146,-14.473503
1147,-11.454566
1148,-9.414083
1149,-11.669735
1150,-12.621208
1151,-15.1362505
1152,-15.666258
1153,-15.741189
1154,-13.164324
1155,-11.6956625
1156,-13.115215
1157,-11.702495
1158,-12.045357
1159,-14.707976
1160,-13.71893
1161,-15.216808
1162,-16.675444
1163,-13.836423
1164,-14.066335
1165,-11.430714
1166,-11.265377
1167,-11.971586
1168,-15.922089
1169,-15.101267
1170,-13.173937
1171,-8.627021
1172,-9.898921
1173,-12.762146
1174,-13.1325655
1175,-14.008915
1176,-15.671411
1177,-10.763317
1178,-12.024644
1179,-16.002674
1180,-13.912357
1181,-13.827747
1182,-12.953086
1183,-11.939982
1184,-11.504832
1185,-13.264117
1186,-11.794013
1187,-12.174136
1188,-9.346525
1189,-10.712318
1190,-11.836765
1191,-11.634628
1192,-11.889161
1193,-13.76416
1194,-12.897366
1195,-13.27043
1196,-15.234311
1197,-13.83554
1198,-13.070966
1199,-16.456621
1200,-11.017061
1201,-10.952853
1202,-11.329448
1203,-9.396195
1204,-11.725921
1205,-13.119787
1206,-12.155908
1207,-10.948389
1208,-13.407688
1209,-14.65159
1210,-13.01841
1211,-15.907172
1212,-15.5341015
1213,-13.608629
1214,-10.587528
1215,-10.27481
1216,-10.94679
1217,-13.421273
1218,-14.439651
1219,-13.587619
1220,-16.417103
1221,-15.258882
1222,-13.69619
1223,-10.602365
1224,-13.217388
1225,-15.06346
1226,-12.564847
1227,-11.572936
1228,-13.526525
1229,-10.137747
1230,-10.493029
1231,-12.568669
1232,-11.379274
1233,-9.825943
1234,-10.107192
1235,-11.932654
1236,-13.1309185
1237,-10.505751
1238,-8.440129
1239,-13.2644
1240,-12.75348
1241,-11.034685
1242,-12.640738
1243,-8.924998
1244,-12.033984
1245,-11.618725
1246,-13.38594
1247,-12.640293
1248,-13.359787
1249,-13.446862
1250,-12.22454
1251,-13.2644
1252,-11.655809
1253,-11.260965
1254,-13.359787
1255,-11.582871
1256,-13.2644
1257,-12.166023
1258,-13.2644
1259,-12.875085
1260,-10.462167
