,distance_stream_downstream
1245,11599.127
1246,11196.0205
1247,11034.758
1248,11196.0205
1249,11034.758
1250,11760.384
1251,11608.541
1252,11094.793
1253,11044.172
1254,11094.793
1255,15661.601
1256,15500.344
1257,15339.087
1258,14049.13
1259,13887.861
1260,13726.593
1261,13675.968
1262,13625.348
1263,13675.968
1264,13726.593
1265,13887.855
1266,14290.961
1267,14562.897
1268,14613.519
1269,14774.781
1270,15177.888
1271,15339.188
1272,15500.458
1273,20138.887
1274,19977.623
1275,19816.367
1276,19655.11
1277,19493.854
1278,19332.596
1279,19171.34
1280,19120.723
1281,18606.977
1282,18445.713
1283,18395.094
1284,18445.713
1285,18395.09
1286,18344.469
1287,20551.416
1288,20148.31
1289,19987.055
1290,19583.947
1291,19422.686
1292,19372.064
1293,19422.686
1294,19473.31
1295,19634.584
1296,20470.979
1297,20420.355
1298,20581.617
1299,20420.355
1300,20470.986
1301,20521.607
1302,21459.215
1303,21408.592
1304,21459.215
1305,21408.594
1306,21459.215
1307,21620.484
1308,21781.748
1309,22184.86
1310,22910.518
1311,22859.896
1312,22910.518
1313,23071.78
1314,23585.547
1315,23636.168
1316,24149.93
1317,24200.55
1318,24361.814
1319,24523.076
1320,24684.34
1321,24845.602
1322,25006.865
1323,25168.127
1324,25329.39
1325,25490.654
1326,25651.916
1327,26407.54
1328,26458.16
1329,26941.986
1330,26891.365
1331,26941.986
1332,27103.254
1333,28181.402
1334,28130.781
1335,28181.402
1336,28877.15
1337,28826.525
1338,28775.904
1339,28826.525
1340,28877.15
1341,29360.975
1342,29310.354
1343,29360.975
1344,29522.238
1345,29683.5
1346,30086.613
1347,30247.877
1348,30650.982
1349,30812.238
1350,31325.984
1351,31376.602
1352,31537.857
1353,31699.121
1354,31860.383
1355,32374.135
1356,32424.752
1357,32586.01
1358,32747.271
1359,32908.535
1360,33069.797
1361,33472.91
1362,33634.18
1363,34258.57
1364,34309.188
1365,34470.445
1366,34631.707
1367,34792.97
1368,12132.572
1369,12183.197
1370,11699.312
1371,11648.681
1372,11487.412
1373,11648.681
1374,12051.787
1375,10439.107
1376,10489.735
1377,10439.111
1378,10701.647
1379,10651.023
1380,10701.647
1381,10862.917
1382,11266.023
1383,11427.286
1384,10489.71
1385,10549.683
1386,10388.414
1387,10227.145
1388,10176.5205
1389,10227.145
1390,10740.896
1391,10902.165
1392,11063.434
1393,11881.314
1394,11478.209
1395,11316.945
1396,10913.839
1397,10752.57
1398,10701.946
1399,10752.57
1400,10913.857
