,TWI_raster
1061,-13.984499
1062,-13.201558
1063,-15.272192
1064,-14.329277
1065,-13.645075
1066,-15.046992
1067,-14.31434
1068,-15.2677355
1069,-15.262875
1070,-15.32864
1071,-15.924578
1072,-14.344927
1073,-14.559883
1074,-14.138772
1075,-13.870094
1076,-16.03697
1077,-15.468288
1078,-16.901934
1079,-15.42282
1080,-14.512926
1081,-13.062153
1082,-11.002061
1083,-10.911687
1084,-13.623201
1085,-14.3874235
1086,-8.77959
1087,-11.739107
1088,-11.214877
1089,-12.113249
1090,-16.182026
1091,-14.41336
1092,-13.431493
1093,-11.261554
1094,-12.937966
1095,-13.033218
1096,-15.053942
1097,-15.979482
1098,-10.7232485
1099,-11.393499
1100,-14.418615
1101,-15.26809
1102,-15.159588
1103,-13.776872
1104,-14.03814
1105,-13.53486
1106,-11.877946
1107,-12.907361
1108,-9.286953
1109,-11.046323
1110,-12.322236
1111,-16.866085
1112,-17.137852
1113,-16.219135
1114,-15.363045
1115,-15.421561
1116,-15.932169
1117,-16.621763
1118,-15.795526
1119,-16.407358
1120,-15.569915
1121,-15.041048
1122,-14.690412
1123,-15.738943
1124,-17.105999
1125,-16.808867
1126,-15.797035
1127,-14.647952
1128,-9.882423
1129,-11.024689
1130,-15.456603
1131,-16.712273
1132,-14.491136
1133,-12.543877
1134,-14.656817
1135,-15.987467
1136,-16.243597
1137,-16.24144
1138,-15.407749
1139,-14.26968
1140,-11.108171
1141,-13.813435
1142,-13.615672
1143,-14.324253
1144,-16.842405
1145,-15.775685
1146,-14.199301
1147,-12.622648
1148,-9.345902
1149,-10.888742
1150,-12.119514
1151,-13.064387
1152,-16.741068
1153,-13.384687
1154,-14.1651325
1155,-15.815816
1156,-12.3682575
1157,-12.108992
1158,-12.059071
1159,-11.55085
1160,-10.539297
1161,-13.388367
1162,-15.07727
1163,-16.58943
1164,-12.900395
1165,-11.834253
1166,-15.511494
1167,-13.370271
1168,-13.6682
1169,-13.626196
1170,-14.542073
1171,-15.369714
1172,-14.623819
1173,-13.33125
1174,-11.634244
1175,-8.746384
1176,-11.530514
1177,-12.558854
1178,-12.446501
1179,-11.84175
1180,-12.539259
1181,-13.936943
1182,-16.448807
1183,-13.630696
1184,-13.722202
1185,-9.838267
1186,-12.870986
1187,-16.819748
1188,-13.827042
1189,-10.6500025
1190,-13.487719
1191,-16.60007
1192,-14.326497
1193,-11.71963
1194,-14.397375
1195,-16.426361
1196,-14.507641
1197,-12.646767
1198,-10.043243
1199,-11.8266115
1200,-10.153443
1201,-11.158808
1202,-12.184713
1203,-12.188274
1204,-12.914712
1205,-12.882068
1206,-9.746897
1207,-12.011636
1208,-14.594833
1209,-13.858082
1210,-13.986124
1211,-13.095251
1212,-13.367076
1213,-15.675306
1214,-14.018507
1215,-8.561896
1216,-11.704765
1217,-15.372433
1218,-15.289173
1219,-16.20021
1220,-16.222597
1221,-11.687834
1222,-13.752507
1223,-14.741465
1224,-14.096539
1225,-13.5158615
1226,-15.512239
1227,-12.6080265
1228,-13.666628
1229,-16.14799
1230,-11.6700325
1231,-11.080708
1232,-12.602612
1233,-14.461974
1234,-16.308989
1235,-15.7871475
1236,-15.423485
1237,-14.637302
1238,-12.405835
1239,-11.145885
1240,-12.075476
1241,-13.254993
1242,-13.817155
1243,-11.7465925
1244,-12.818239
1245,-14.635389
1246,-15.993535
1247,-15.106268
1248,-13.70177
1249,-14.931177
1250,-15.817522
1251,-14.592862
1252,-12.731441
1253,-9.687927
1254,-10.646498
1255,-13.800596
1256,-15.186074
1257,-14.296276
1258,-11.706094
1259,-12.808791
1260,-13.256244
1261,-11.377594
1262,-11.349506
1263,-12.7640295
1264,-13.936165
1265,-12.520713
1266,-11.848953
1267,-10.347427
1268,-11.767915
1269,-11.498786
1270,-10.785509
1271,-11.6550045
1272,-13.234553
1273,-13.822885
1274,-14.087517
1275,-13.511426
1276,-12.627483
1277,-11.860136
1278,-13.159259
1279,-10.848055
1280,-9.231107
1281,-10.973677
1282,-12.720163
1283,-13.42249
1284,-14.698246
1285,-13.097807
1286,-11.394321
1287,-11.763231
1288,-15.411669
1289,-15.491819
1290,-14.59475
1291,-14.851166
1292,-14.64269
1293,-15.030921
1294,-15.091762
1295,-12.033419
1296,-11.831385
1297,-14.1322365
1298,-13.31282
1299,-13.505058
1300,-13.53827
1301,-12.819835
1302,-15.265964
1303,-15.139902
1304,-13.634549
1305,-9.540184
1306,-11.239944
1307,-14.325276
1308,-13.842707
1309,-11.182016
1310,-10.565727
1311,-12.185041
1312,-14.811908
1313,-13.754863
1314,-12.619392
1315,-12.83503
1316,-12.411405
1317,-10.183245
1318,-12.472376
1319,-13.086586
1320,-15.2080555
1321,-14.050811
1322,-12.726402
1323,-13.492991
1324,-12.906054
1325,-10.761779
1326,-12.75348
1327,-11.506087
1328,-13.24468
1329,-14.118965
1330,-14.430998
1331,-13.912957
1332,-11.650244
1333,-11.765762
1334,-12.922562
1335,-12.582037
1336,-13.301954
1337,-13.684211
1338,-10.868915
1339,-11.776683
1340,-13.075297
1341,-11.743782
1342,-13.615041
1343,-12.442188
1344,-14.401285
1345,-13.1310215
1346,-13.292774
1347,-14.892532
1348,-14.457846
1349,-14.966928
1350,-12.336052
1351,-11.882224
1352,-11.764597
1353,-13.607272
1354,-15.397729
1355,-16.072031
1356,-16.296448
1357,-15.096945
1358,-14.063639
1359,-10.209899
1360,-13.423499
1361,-14.810699
1362,-9.633088
1363,-11.461502
1364,-13.983944
1365,-15.51946
1366,-16.296003
1367,-16.049526
1368,-13.714535
1369,-12.233687
1370,-12.4516
1371,-12.3433075
1372,-10.343332
1373,-9.732454
1374,-14.303853
1375,-11.532059
1376,-9.916617
1377,-13.546895
1378,-15.732861
1379,-15.932744
1380,-13.383197
1381,-11.5623045
1382,-11.309222
1383,-11.743468
1384,-11.77849
1385,-14.002778
1386,-9.793685
1387,-13.681005
1388,-15.070793
1389,-16.13299
1390,-14.410137
1391,-12.97913
1392,-15.128711
1393,-14.390575
1394,-15.852362
1395,-14.85609
1396,-15.130293
1397,-14.966584
1398,-12.959923
1399,-12.435454
1400,-14.53467
1401,-15.598668
1402,-15.735678
1403,-16.216785
1404,-14.28459
1405,-9.942727
1406,-9.850343
1407,-12.655564
1408,-15.918688
1409,-12.769771
1410,-11.219235
1411,-13.734589
1412,-16.02248
1413,-14.732834
1414,-16.992498
1415,-13.767046
1416,-13.063738
1417,-10.120021
1418,-13.533081
1419,-13.1020775
1420,-12.946222
1421,-16.576534
1422,-15.5419235
1423,-14.515741
1424,-12.452581
1425,-11.083106
1426,-10.563729
1427,-11.072299
1428,-10.408021
1429,-15.635769
1430,-12.592822
1431,-12.224965
1432,-15.771699
1433,-15.821477
1434,-14.761327
1435,-16.523224
1436,-15.023886
1437,-11.412199
1438,-12.126717
1439,-13.997239
1440,-15.63337
1441,-15.605042
1442,-10.766714
1443,-12.349158
1444,-12.90142
1445,-16.399696
1446,-12.536816
1447,-15.048254
1448,-15.078955
1449,-13.939279
1450,-13.255947
1451,-10.587098
1452,-10.436264
1453,-11.921538
1454,-13.016946
1455,-14.627613
1456,-16.2648
1457,-16.530558
1458,-16.205425
1459,-16.614595
1460,-16.217173
1461,-13.540767
1462,-8.967109
1463,-14.905494
1464,-15.546317
1465,-8.988208
1466,-10.082019
1467,-15.4784975
1468,-13.391903
1469,-15.264849
1470,-15.267519
1471,-16.539885
1472,-16.23641
1473,-12.812677
1474,-15.359798
1475,-12.065242
1476,-11.047642
1477,-9.685319
1478,-11.685059
1479,-13.526959
1480,-10.897877
1481,-12.586231
1482,-10.813982
1483,-11.32381
1484,-14.067947
1485,-13.167315
1486,-13.358957
1487,-12.152539
1488,-13.630109
1489,-16.01504
1490,-14.946622
1491,-13.140988
1492,-10.828201
1493,-8.201468
1494,-8.988215
1495,-8.152652
1496,-12.660864
1497,-8.06526
1498,-10.50824
1499,-10.285091
1500,-9.587061
1501,-9.1464205
1502,-8.879924
1503,-8.663502
1504,-11.336041
1505,-13.757049
1506,-13.824762
1507,-9.398411
1508,-12.592813
1509,-16.805216
1510,-14.875281
1511,-14.967072
1512,-15.600404
1513,-13.848295
1514,-14.774668
1515,-15.223629
1516,-12.087704
1517,-9.050969
1518,-10.175052
1519,-8.61932
1520,-8.881197
1521,-10.630009
1522,-11.520933
1523,-14.611981
1524,-15.915448
1525,-13.564685
1526,-13.761827
1527,-15.354833
1528,-15.608899
1529,-14.346131
1530,-9.08811
1531,-9.701824
1532,-10.870618
1533,-12.998561
1534,-12.036622
1535,-12.350952
1536,-13.362125
1537,-11.685563
1538,-13.385162
1539,-11.078044
1540,-8.86108
1541,-12.040095
1542,-10.8189535
1543,-13.409841
1544,-12.580806
1545,-11.743445
1546,-12.852318
1547,-14.193623
1548,-11.965646
1549,-12.537133
1550,-12.887687
1551,-11.526896
1552,-10.042111
1553,-10.198721
1554,-11.149859
1555,-13.446627
1556,-10.924959
1557,-11.677805
1558,-14.219587
1559,-13.098418
1560,-15.392605
1561,-11.679892
1562,-11.16042
1563,-12.351533
1564,-15.083671
1565,-14.672185
1566,-13.796952
1567,-13.312673
1568,-13.558952
1569,-13.28235
1570,-11.229416
1571,-12.134535
1572,-11.097549
1573,-10.545613
1574,-12.210789
1575,-11.942847
1576,-12.4955
1577,-12.937624
1578,-12.883521
1579,-14.531657
1580,-14.419813
1581,-11.622334
1582,-8.5468235
1583,-14.090218
1584,-12.11628
1585,-11.841581
1586,-11.5546665
1587,-11.6543455
1588,-12.192857
1589,-13.651461
1590,-13.805046
1591,-12.874886
1592,-11.800728
1593,-11.913271
1594,-10.082806
1595,-13.533112
1596,-14.653743
1597,-13.874628
1598,-13.540967
1599,-13.798223
1600,-14.467225
1601,-12.539575
1602,-11.336378
1603,-11.032179
1604,-11.50696
1605,-14.706556
1606,-15.5051155
1607,-14.814567
1608,-10.576921
1609,-12.64553
1610,-14.006243
1611,-11.31029
1612,-11.576455
1613,-12.228884
1614,-13.650663
1615,-12.823373
1616,-11.80956
1617,-9.879422
1618,-10.14055
1619,-9.876702
1620,-11.795765
1621,-12.623131
1622,-9.336133
1623,-11.15714
1624,-13.280177
1625,-11.775105
1626,-14.169745
1627,-13.235022
1628,-16.226593
1629,-15.774852
1630,-11.416468
1631,-11.308057
1632,-13.499919
1633,-15.106882
1634,-14.694171
1635,-14.882123
1636,-12.888372
1637,-12.383064
1638,-11.414811
1639,-11.566649
1640,-13.114572
1641,-15.961821
1642,-14.427994
1643,-12.847468
1644,-13.898065
1645,-16.011786
1646,-15.081991
1647,-16.04937
1648,-15.219781
1649,-13.332099
1650,-12.994728
1651,-11.043613
1652,-14.262001
1653,-11.316659
