,vector_ruggedness_measure
366,6.7144497e-06
367,1.3323845e-05
368,0.00014757708
369,0.0001044021
370,0.00014277005
371,0.000105263905
372,0.00027099793
373,0.00024876712
374,0.0002358626
375,0.0006603298
376,0.001084021
377,0.0007139776
378,0.0005508173
379,0.0007445666
380,0.0011520608
381,0.0006006467
382,0.0017954767
383,0.0019319577
384,0.0011123294
385,0.0013782136
386,0.0018539925
387,0.0010091013
388,0.0022804304
389,0.0015176986
390,0.00084237976
391,0.0005176449
392,0.0014576558
393,0.0010639803
394,0.00283375
395,0.001485211
396,0.0028887845
397,0.001761509
398,0.0012063022
399,0.0031007833
400,0.001379218
401,0.00043109115
402,0.0011329514
403,0.001531492
404,0.001441742
405,0.0011427186
406,0.0009799519
407,0.0005868602
408,0.00039540217
409,0.0012222572
410,0.0018841177
411,0.0010689404
412,0.001914056
413,0.001479298
414,0.0018304626
415,0.0012134705
416,0.0007675305
417,0.0012769655
418,0.0007665847
419,0.00034889928
420,0.00021436522
421,0.0005756566
422,0.00018064867
423,5.405943e-05
424,6.077057e-05
425,7.133307e-05
426,7.364579e-05
427,6.479114e-05
428,5.4745426e-05
429,4.4481058e-05
430,4.061494e-05
431,4.4442157e-05
432,8.0753736e-05
433,0.00021145791
434,0.00019047277
435,0.0003239718
436,9.81501e-05
437,8.09239e-05
438,6.459936e-05
439,0.0001984493
440,0.000121467296
441,0.00011125159
442,9.8210316e-05
443,1.1383706e-05
444,6.1757746e-06
445,1.2644969e-05
446,2.5572406e-05
447,7.917765e-05
448,6.8047295e-05
449,0.00012685313
450,8.69168e-05
451,0.00014693006
452,0.00024617848
453,0.00028766607
454,0.00026232708
455,0.0003486953
456,0.00019992595
457,7.400162e-05
458,9.63934e-05
459,9.5749674e-05
460,0.00012785626
461,8.4857726e-05
462,5.0086877e-05
463,0.00025622945
464,0.00029513024
465,0.00031613625
466,0.0003502329
467,0.00017363322
468,0.00018356903
469,0.00013117329
470,8.62384e-05
471,3.625785e-05
472,4.6042485e-05
473,4.2242733e-05
474,4.1862862e-05
475,0.00084673177
476,0.002468827
477,0.006453177
478,0.0015353685
479,0.0021042598
480,0.0027983086
481,0.0014531127
482,0.0037579443
483,0.001445394
484,0.002991899
485,0.00088093226
486,0.0024657266
487,0.002801215
488,0.0021744263
489,0.0017349906
490,0.001888561
491,0.0009312829
492,0.0008323314
493,0.00023285006
494,0.0001175168
495,5.113214e-05
496,1.1240859e-05
497,1.2164274e-05
498,9.79527e-05
499,6.567272e-05
500,7.348627e-05
501,9.455825e-05
502,0.00019767058
503,0.00014439494
504,0.00013661526
505,0.00027812147
506,0.0006311146
507,0.0013709649
508,0.0011083108
509,0.00066244893
510,0.0015138424
511,0.0010500586
512,0.00090738374
513,0.0013299076
514,0.0010538151
515,0.0008908987
516,0.0013301615
517,0.00083789177
518,0.0011823841
519,0.0010731732
520,0.00082161895
521,0.00042718585
522,0.0013385466
523,0.0010458017
524,0.0020720449
525,0.0018604938
526,0.0025516457
527,0.0012785331
528,0.0007474974
529,0.0025837414
530,0.0021393471
531,0.0006218889
532,0.00057498936
533,0.0011360314
534,0.0010830568
535,0.0008405174
536,0.00049035274
537,0.0002812311
538,0.00012990636
539,0.0008505214
540,0.0013409655
541,0.0012453947
542,0.0018952222
543,0.0005159487
544,0.0009152627
545,0.0015405082
546,0.00074785
547,0.00071222533
548,0.0005786745
549,0.0003777406
550,0.00023713539
551,0.0004774224
552,0.00017516423
553,6.20608e-05
554,3.3752836e-05
555,3.1537948e-05
556,3.4823122e-05
557,2.6857175e-05
558,3.6612226e-05
